name,description,latitude,longitude
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">41432 N BENT CREEK WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.86046,-112.098698
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">14858 N EL SOBRANTE AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.621714,-111.708654
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">21182 W SUNRISE LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.497778,-112.51392
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">39503 N 5TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",46.807379,-100.157273
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">10815 W ROUNDELAY CIR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.619145,-112.295356
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13822 W ALEPPO DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.654539,-112.362147
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">14104 W CIRCLE RIDGE DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.063434,-97.035351
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">5635 E LINCOLN DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.531025,-111.95588
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">31815 N 219TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.678796,-112.530268
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">11441 S 46TH ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.342501,-111.986643
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">6321 W BECKER LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.582317,-112.195615
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">41228 N WHISTLING STRAIT CT</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.85935,-112.089161
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">3735 W LINKS DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.658892,-112.424317
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">3115 E VERBENA DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.305587,-112.017453
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">5007 N DYSART RD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.51033,-112.340907
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">39518 N GAVILAN PEAK PKWY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.858079,-112.137686
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">19815 N ZION DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.663596,-112.3417
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">23014 W ROY ROGERS CT</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.746689,-112.108031
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13435 W BERRIDGE LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.524208,-112.347761
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">40331 N LYTHAM WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.851375,-112.092247
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">7217 E 4TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",47.653271,-117.307551
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">26799 N 97TH LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.658336,-112.270102
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">10260 E FILAREE LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.842695,-111.858897
